Boat_Type,Type,Year_Built,Length,Width,Displacement,Category,People,Cabins,Toilets,Material,Water,Propulsion,Fuel_Capacity,Fuel_Type,Engine_Hours,Price
2.0,1.0,2017.0,4.0,1.9,811.7,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3118.7
0.0,1.0,2020.0,4.0,1.5,150.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3490.0
1.0,1.0,2020.0,3.0,1.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.2
0.0,0.0,1974.0,6.3,2.5,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,500.0,3503.5
6.0,1.0,2019.0,3.55,1.46,84.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3399.0
0.0,0.0,1999.0,6.2,2.38,350.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0,40.0,3.0,474.3,3364.5
6.0,1.0,2019.0,3.64,1.37,77.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3333.0
0.0,1.0,2018.0,4.35,1.73,184.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0
1.0,0.0,1991.0,5.6,2.2,1073.1,1.0,6.0,0.0,0.0,3.0,0.0,3.0,80.0,3.0,474.3,3271.0
6.0,0.0,1987.0,4.35,1.75,839.3,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,3271.0
1.0,0.0,2004.0,4.7,2.0,921.8,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3500.0
0.0,1.0,2020.0,4.4,1.65,832.4,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4299.1
6.0,0.0,1997.0,3.72,1.33,694.8,1.0,3.0,0.0,0.0,2.0,0.0,2.0,20.0,3.0,10.0,4205.6
1.0,0.0,1985.0,4.0,1.0,400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4032.3
0.0,0.0,1981.0,8.0,2.84,7904.9,1.0,0.0,1.0,0.0,4.0,0.0,0.0,160.0,4.0,2850.0,4000.0
4.0,0.0,2011.0,6.37,2.31,800.0,1.0,3.0,2.0,0.0,3.0,0.0,2.0,54.0,3.0,9.0,4000.0
0.0,0.0,1984.0,6.0,2.2,1128.2,1.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,0.0,0.0,4000.0
